Item ID,TDExt,TDInt,BDExt,BDInt,HExt,HInt
1051-YE,71/180,51.25/130,49.25/125,47.75/121,69/175,66/168
1065-YE,27.75/70,23.75/60,23/58,22/56,37.5/95,34.25/87
1180-YE,40.25/102,31.5/80,30/76,29/73.6,57/145,52.75/134
1220-YE,22.4/57,21.6/55,18.1/46,17.25/44,18.9/48,17.4/44
1230-YE,22.25/59,21.5/55,18/46,17/43,30/76,28.1/71
1237-YE,31.9/80,27/69,25.75/65,24.75/63,41.5/105,37/94
1240-YE,31.4/80,27.1/69,25.75/65,25/64,45/114,42/107
1259-YE,23/58,20/50,18.4/47,17.75/45,45.4/115,36/91.44
1295-YE,32/81,27/69,26/66,25/64,44/112,37/94
1299-YE,31.4/80,27.25/69,25.75/65,24.75/63,47.5/120,38.5/98
8001-YE,32.5/83,27.13/69,26.38/67,25.75/65,42/107,29.25/74
8002-YE,32.5/83,27.13/69,26.38/67,25.75/65,42.5/108,29.25/74
8050-BU,27.5/70,27.13/69,,,5.5/14,1.56/4
8075-YE,32.5/83,27/68,27/68,,31/79,25/64
8080-YE,31.75/81,27.25/69,25.75/65,24.75/63,49/125,41.25/105
8081-YE,31.75/81,27.25/69,25.75/65,24.75/63,49/125,41.25/105
8091-YE,34/86,30.25/76,27.6/70,27.5/70,7.5/19,7.1/18
