ID,Name,Part Number,Category,Short Description,Long Description,Weight,Handling Capacity,Regulations,Sump Capacity,PLength,PWidth,PHeight,"Dimension Type (Drum, Pool, etc)",Product Option 1(Item_ID),Product Option 2(Item_ID),Product Option 3(Item_ID)
1051-YE,Poly-Overpack 600,1051-YE,Salvage Drum/Overpacks,A Huge 600-Gallon Capacity.,"Designed specifically for the storage and transport of large transformers, the Poly-Overpack 600 offers an easy, cost-effective way to keep hazardous fluids under control.",225/102,5000/2268,"EPA 40 CFR 761.65, SPCC, NPDES",600/ 2271,,,,Drum,1230-YE,1299-YE,1295-YE
1065-YE,Poly-Overpack® 65 Salvage Drum,1065-YE,Salvage Drum/Overpacks,"Just The Right Size For
30-Gallon Drums.","Our Poly-Overpack 65 meets
Group 1 packaging standards, Salvage Drum regulations, and is designed to fit 30-gallon drums.
This overpack nests for easy storage and has a gasket lid for secure containment.

No wasted space! No wasted money!

Great As A Spill Kit Container!
It’s light enough for one person to handle and large enough to pack sufficient absorbent and response equipment for incidental spills.",46.7/21.8,440/200,"EPA 40 CFR 264.175, SPCC, NPDES",65/246,,,,Drum,1360-YE,1361-YE,1362-YE
1180-YE,Poly-Overpack® 180T Overpack Drum,1180-YE,Salvage Drum/Overpacks,Ideal for utilities in transport and storing transformers.,"The Poly-Overpack 180T offers a large, 180-gallon capacity to handle the big jobs, while it's tight grip feature saves time and money.",116/53,2500/1134,"EPA 40 CFR 264.175, SPCC, NPDES",180/681.4,,,,Drum,1051-YE,1220-YE,1259-YE
1220-YE,Poly-Overpack® 20 Salvage Drum,1220-YE,Salvage Drum/Overpacks,Big Features And Big Savings!,"The new 20-gallon Salvage Drum is a versatile unit that can directly contain solids and sludges with security. With a 1/2 turn lid, these ergonomically designed units allow for easy access, unlike competing “hoop-ring designs.” The 20-gallon Salvage Drum accepts bottles, cans and 5-gallon pails. Units are also nestable, which allows for ease of shipment. Save on shipping cost and storage space!",10.4/4.7,166/75,"UN 1H2/X75/S
UN 1H2/Y100/S
DOT 49 CFR 173.3 (c),
EPA, SPCC and NPDES",20/75.7,,,,Drum,1295-YE,1230-YE,5205-YE
1230-YE,Poly-Overpack® 30 Salvage Drum,1230-YE,Salvage Drum/Overpacks,Big Features And Big Savings!,"The new 30-gallon Salvage Drum is a versatile unit that can directly contain solids and sludges with security. With a 1/2 turn lid, these ergonomically designed units allow for easy access, unlike competing “hoop-ring designs.” This 30-gallon Salvage Drum can contain up to 16-gallon drums. Units are also nestable, which allows for ease of shipment. Save on shipping cost and storage space!",12.9/5.9,220/100,"UN 1H2/X75/S
UN 1H2/Y100/S
DOT 49 CFR 173.3 (c),
EPA, SPCC and NPDES",30/113.5,,,,Drum,1220-YE,1295-YE,5205-YE
1237-YE,Poly-Overpack® 95 Salvage Drum,1237-YE,Salvage Drum/Overpacks, Is Your Overpack Really A Salvage Drum?,"Our Poly-Overpack 95 meets Group 1 packaging standards and salvage drum regulations (unlike competitive overpacks). The Poly-Overpack 95 safely contains a wide range of hazardous materials including: acids, corrosives and damaged parts - in 55-gallon drums.

Tight, secure and leak-free container closing is simple: place any long object (like a wooden two-by-four) in the handy lid slots, and turn to screw the lid down tightly.

Meets performance-oriented packaging requirements of U.S. DOT and UN regulations.",48.2/21.9,650/295,"UN 1H2/X295/S,
UN 1H2T/Y295/S,
DOT 49 CFR 173.3",95/359.6,,,,Drum,1240-YE,5200-YE,1259-YE
1240-YE,Poly-Overpack® 110 Salvage Drum,1240-YE,Salvage Drum/Overpacks,"Ideal For Distorted Or Bowed Drums.

","Containing irregular drums is not a problem with this handy-size overpack. All the great performance features of the Poly-Overpack 95, but built taller to handle those misshapen drums.",51.3/23.3,650/295,"UN 1H2/X295/S,
DOT 49 CFR 173.3(c),
EPA, SPCC and NPDES",103/390,,,,Drum,1237-YE,5200-YE,1299-YE
1259-YE,Wheeled Overpack® 50 Salvage Drum,1259-YE,Salvage Drum/Overpacks,Wheeled Overpack® 50 Salvage Drum,ENPAC’s Wheeled Overpacks® are the first mobile one-piece overpack on wheels. A Salvage Drum and dolly in one! They completely eliminate the need for a separate dolly transportation. The 50-gallon polyethylene UN rated Salvage Drums have built-in handles and 6” Polyolefin wheels that allow for easy steering through doorways and around any obstacle. Ideal for mobile Spill Kits.,46.8/21.2,275/125,"UN 1H2/X125/S,
DOT 49 CFR 173.3(c),
EPA, SPCC and NPDES",50/189.3,,,,Drum,1299-YE,1237-YE,5200-YE
1295-LK,Envirosalv™ Locking 95 Gallon Spill Kit,1295-LK,Salvage Drum/Overpacks,Envirosalv™ Locking 95 Gallon Spill Kit,"One of our most innovative design improvements for 2010 is the Lock Down Security Kit - which locks and secures the 1295-YE drum to its destination. Lock Down Kit (1295-LK) is available as an optional - lockable, serialized, identification security system when accountability matters most. Lock Down Kit adds an identification feature to account for hazardous material from point A to Z.",1/.45,,,,,,,Standard,1295-YE
1295-YE,Envirosalv™ Poly Salvage Drum Plus,1295-YE,Salvage Drum/Overpacks,Envirosalv™ Poly Salvage Drum Plus,"THE “LOCKING” OVERPACK SALVAGE DRUM OF THE FUTURE! ENPAC® has done it again! With years of research and development, ENPAC® introduces ENVIROSALV™ Poly-Salvage Drum Plus; an extension to ENPAC’s®global legacy of Salvage Drums. The ENVIROSALV line brings many new features and benefits to the Salvage Drum world. The ENVIROSALVTM safely contains a wide range of hazardous materials including: acids, corrosives and damaged drums. Our most innovative design improvement is the Lock Down Security Kit - which locks and secures the drums safely to it’s destination.

Patent: US 2010/0288667",56/25.4,650/295,"UN 1H2/X75/S
UN 1H2/Y100/S
DOT 49 CFR 173.3 (c),
EPA, SPCC and NPDES",95/359.6,,,,Drum,1230-YE,1220-YE,5205-YE
