ID,Name,Part Number,Short Description,Long Description,Weight,Handling Capacity,Regulations,Sump Capacity,PLength,PWidth,PHeight,"Dimension Type (Drum, Pool, etc)",Product Option 1(Item_ID),Product Option 2(Item_ID),Product Option 3(Item_ID)
EG029-0121-00EP,ENSORB® SOK Kit,EG029-0121-00EP,Spill & Odor Killer - Neutralizing & Odor-eliminating absorbent!,"Quickly neutralize odors at the source with ENSORB SOK, the revolutionary odor eliminating absorbent! Effective and environmentally safe, this rapid-action Spill and Odor Killer is safe to use around kids, pets and virtually anywhere! Perfect for airplanes, busses, commercial kitchens, classrooms and more; SOK Kits are small to store and easy to use. SOK Kits inlude everything you will need in the moment you need it most with it's borad efficiancy and effective odor control. ",1 lb. / .5 kg,,,,,,,Sorbents,EG029-0121-06EP,EC029-0160-06EP,EC029-0009-00EP
EG029-0121-06EP,ENSORB® SOK Kit (Case of 6),EG029-0121-06EP,Spill & Odor Killer - Neutralizing & Odor-eliminating absorbent!,"Quickly neutralize odors at the source with ENSORB SOK, the revolutionary odor eliminating absorbent! Effective and environmentally safe, this rapid-action Spill and Odor Killer is safe to use around kids, pets and virtually anywhere! Perfect for airplanes, busses, commercial kitchens, classrooms and more; SOK Kits are small to store and easy to use. SOK Kits inlude everything you will need in the moment you need it most with it's borad efficiancy and effective odor control. ",6 lbs. / 2.6 kg,,,,13.5 in. / 34 cm,13.5 in. / 34 cm,7 in. / 18 cm,Sorbents,EC029-0160-06EP,EC029-0009-00EP,EC029-0025-00EP
EC029-0160-06EP,ENSORB® Shaker (Case of 6) ,EC029-0160-06EP,Spill & Odor Killer - Neutralizing & Odor-eliminating absorbent!,"Quickly neutralize odors at the source with ENSORB SOK, the revolutionary odor eliminating absorbent! Effective and environmentally safe, this rapid-action Spill and Odor Killer is safe to use around kids, pets and virtually anywhere! No masking agents here! SOK's patented non-chlorine formulation chemically traps and destroys odor-causing molecules. This convienient SOK Shaker is ready and waiting to be your handy fix for all spills. ",4 lbs. / 1.8 kg,,,,10 in. / 25 cm ,8 in. / 20 cm ,8 in. / 20 cm,Sorbents,EC029-0009-00EP,EC029-0025-00EP,EG029-0121-00EP
EC029-0009-00EP,ENSORB® SOK 5-Gallon Pail,EC029-0009-00EP,Spill & Odor Killer - Neutralizing & Odor-eliminating absorbent!,"Quickly neutralize odors at the source with ENSORB SOK, the revolutionary odor eliminating absorbent! Effective and environmentally safe, this rapid-action Spill and Odor Killer is safe to use around kids, pets and virtually anywhere! Ideal for larger spills and refills, the 5 and 15 gallon SOK units will tackle your biggest, nastiest spills with no fear of lingering odor or residue. ",12 lbs. / 5.4 kg,,,,,,,Sorbents,EC029-0025-00EP,EG029-0121-00EP,EG029-0121-06EP
EC029-0025-00EP,ENSORB® SOK 15-Gallon Drum,EC029-0025-00EP,Spill & Odor Killer - Neutralizing & Odor-eliminating absorbent!,"Quickly neutralize odors at the source with ENSORB SOK, the revolutionary odor eliminating absorbent! Effective and environmentally safe, this rapid-action Spill and Odor Killer is safe to use around kids, pets and virtually anywhere! Ideal for larger spills and refills, the 5 and 15 gallon SOK units will tackle your biggest, nastiest spills with no fear of lingering odor or residue. ",35 lbs. / 15.9 kg,,,,,,,Sorbents,EG029-0121-00EP,EG029-0121-06EP,EC029-0160-06EP
1237-BK,95-Gallon ECO-Overpack,1237-BK,The Only ECO-Efficent Overpack on the market!,"Reduce your carbon footprint while using the ENPAC name you know and trust. ENPAC is proud to present its first ECO-Efficient Overpack, Made of 100% Recycled Material!",48 lbs. / 21.8 kg,650 lbs. / 295 kg,"EPA, SPCC, and NPDES",95 gal / 359.6 liters,,,,Drums,1237-YE,1295-YE,1299-YE
5480-YE,Double IBC 4000i,5480-YE,Double up!,"This durable, 100% polyethylene containment bin with 12 heavy-duty removable grates has more chemical resistance than steel frame IBC units. With over a 750-gallon sump capacity, the wide platform shelf accepts two IBC Units and up to a 10,000lb handling capacity. ",376 lbs. / 171 kg,10000 lbs. / 4536 kg,"EPA, SPCC, and NPDES",750 gal. / 2082 liters,,,,Cube,5469-YE,9480-BU,9469-BU
13-WML-U,"Large Wall Mount Spill Locker, Universal",13-WML-U,"Visible, Durable and Virtually Indistructable!",Keep your Spill Kits at eye level with ENPAC Spill Lockers. Loaded with everything you will need to absorb your spills from the factory floor to the utility kitchens. Extra Large sizes also available. ,31 lbs. / 14.1 kg,,,,,,,Standard,13-WMXL-U,13-ESSD,ENP D710
13-WML-A,"Large Wall Mount Spill Locker, Aggressive",13-WML-A,"Visible, Durable and Virtually Indistructable!",Keep your Spill Kits at eye level with ENPAC Spill Lockers. Loaded with everything you will need to absorb your spills from the factory floor to the utility kitchens. Extra Large sizes also available. ,31 lbs. / 14.1 kg,,,,,,,Standard,13-WMXL-A,13-ESS,ENP D710
13-WML-O,"Large Wall Mount Spill Locker, Oil-Only",13-WML-O,"Visible, Durable and Virtually Indistructable!",Keep your Spill Kits at eye level with ENPAC Spill Lockers. Loaded with everything you will need to absorb your spills from the factory floor to the utility kitchens. Extra Large sizes also available. ,31 lbs. / 14.1 kg,,,,,,,Standard,23-WMXL-O,ENP D503CS,ENP D710
