Item ID,Length,Width,Height,Hlength,Hwidth,HHeight,Absorbs
13-WML-U,13 in. / 33 cm,14 in. / 36 cm,30 in. / 76 cm,,,,15 gal. / 56.8 liters
13-WML-A,13 in. / 33 cm,14 in. / 36 cm,30 in. / 76 cm,,,,15 gal. / 56.8 liters
13-WML-O,13 in. / 33 cm,14 in. / 36 cm,30 in. / 76 cm,,,,15 gal. / 56.8 liters
13-WMXL-U,14.5 in. / 39 cm,20 in. / 51 cm,33 in. / 84 cm,,,,25 gal. / 94.6 liters
13-WMXL-A,14.5 in. / 39 cm,20 in. / 51 cm,33 in. / 84 cm,,,,25 gal. / 94.6 liters
23-WMXL-O,14.5 in. / 39 cm,20 in. / 51 cm,33 in. / 84 cm,,,,25 gal. / 94.6 liters
13-ESS,,,,,,,1 gal. / 3.8 liters
13-ESSD,,,,,,,1 gal. / 3.8 liters
ENP D710,20 in. / 51 cm,9 in. / 23 cm,19 in. / 48 cm,,,,2 gal. / 7.6 liters
13-NNX1-A,12 in. / 31 cm,5 in. / 13 cm,12 in. / 31 cm,,,,.3 gal / 1 liter
13-NNX5-A,17 in. / 43 cm,8 in. / 20 cm,8 in. / 20 cm,,,,5 gal. / 10 liters
13-NNX10-A,20 in. / 51 cm,9 in. / 23 cm,19 in. / 48 cm,,,,10 gal. / 37.9 liters
13-ELHT-U,,,,,,,25 gal. / 94.6 liters
13-ELHT-O,,,,,,,25 gal. / 94.6 liters
ENP D715,,,,,,,6 gal. / 22.7 liters
ENP D716,,,,,,,6 gal. / 22.7 liters
ENP D717,,,,,,,6 gal. / 22.7 liters
13-SHT30,22.25 in. / 59 cm,21.5 in. / 55 cm ,18 in. / 46 cm
13-WSHT50,23 in. / 58 cm,20 in. / 50 cm,18.4 in. / 47 cm
13-SHT95,31.9 in. / 80 cm,27 in. / 69 cm,25.75 in. / 65 cm
13-ESHT95,31.9 in. / 80 cm,27 in. / 69 cm,25.75 in. / 65 cm
13-WSHT95,31.4 in. / 80 cm,27.25 in. / 69 cm,25.75 in. / 65 cm
13-SHTT,51.5 in. /131 cm,47.25 in. /120 cm,33 in. / 84 cm
13-PPE ,15 in. / 38 cm,5 in. / 13 cm,21 in. / 53 cm
9001-BU,34 in. / 86 cm,34 in. / 86 cm,18 in. / 46 cm
9002-BU,54 in. / 137 cm,34 in. / 86 cm,14 in. / 36
9004-BU,54 in. / 137 cm,50 in. / 127 cm,10 in. / 25 cm 
9005-BU,107 in. / 373 cm,34 in. / 86 cm,10 in. / 25 cm 
9469-BU,60 in. / 152 cm,53 in. / 135 cm ,33 in. / 84 cm
9480-BU,120 in. / 304 cm,53 in. / 135 cm ,20 in. / 51 cm
9020-BU,54 in. / 137 cm,34 in. / 86 cm,55 in. / 140 cm
9040-BU,56 in. / 142 cm ,56 in. / 142 cm ,55 in. / 140 cm
9012-BU,54 in. / 137 cm,34 in. / 86 cm,55 in. / 140 cm
9014-BU,55 in. / 140 cm,50 in. / 127 cm,54 in. / 137 cm
9140-BU,96 in. / 241 cm,36 in. / 74 cm ,42 in. / 107 cm
9150-BU,108 in. / 272 cm ,36 in. / 74 cm ,42 in. / 107 cm
9160-BU,96 in. / 241 cm,42 in. / 107 cm,50 in. / 127 cm
9170-BU,108 in. / 272 cm ,42 in. / 107 cm,50 in. / 127 cm
