Item ID,ExtLength,ExtWidth,ExtHeight,IntLength,IntWidth,IntHeight,OWidth,OHeight
1505-YE,45/114,35.5/91,30.4/77,34/86,25/64,24.25/62,,
1511-YE,45/114,35.5/91,30.4/77,34/86,25/64,24.25/62,,
1525-YE,51.5/131,47.25/120,33/84,42.5/108,37/94,28/71,,
1531-YE,51.5/131,47.25/120,33/84,42.5/108,37/94,28/71,,
2038-YE,60.5/154,37.25/95,45.75/116,52.4/133,26.25/67,37/94,,
2077-YE,60.25/153,34.1/87,63/154,51.25/130,26.25/67,54.25/138,,
4000-YE,63.5/161,68/173,72.5/184,53.75/137,53.75/137,52.25/133,41.5/105,48.5/123
4010-YE,85.6/217,31.5/156,94/239,70/178,51/130,82/208,,
4062-YE,60/152,37.25/94,72.6/184,51/129,30/76,52/132,,
4064-YE,60/152,54/137,70/177,49/124,54/137,53.5/135,,
5275-BK,82/209,44.9/113,35.3/89,65/165,27/69,,,
5469-YE,73/185,80.5/204,29.5/75,56.75/144,56.75/144,29.5/75,,
