Item ID,Length,Width,Height,Absorbs
4801-BK-SU,4ft/1.2m,4ft/1.2m,8in/20cm,
4802-BK-SU,4ft/1.2m,4ft/1.2m,12/30,
4803-BK-SU,4ft/1.2m,6ft/1.8m,8in/20cm,
4804-BK-SU,4ft/1.2m,6ft/1.8m,12/30,
4804-TM,2ft/.6m,3ft/.9m,6ft/1.8m,
4805-BK-SU,4ft/1.2m,8ft/2.4m,8in/20cm,
4806-BK-SU,6ft/1.8m,6ft/1.8m,12/30,
4806-TM,2ft/.6m,3ft/.9m,6ft/1.8m,
4807-BK-SU,8ft/2.4m,8ft/2.4m,8in/20cm,
4808-TM,2ft/.6m,3ft/.9m,10ft/3m,
4810-BK-SU,10ft/3m,10ft/3m,12/30,
4810-TM,2ft/.6m,3ft/.9m,10ft/3m,
4812-BK-SU,12ft/3.7m,12ft/3.7m,12/30,
4812-TM,2ft/.6m,3ft/.9m,12ft/3.7m,
4816-BK-SU,16ft/4.9m,16ft/4.9m,12/30,
4816-TM,2ft/.6m,3ft/.9m,16ft/4.9m,
4820-BK-SF,10ft/3m,26ft/7.9m,12/30,
4820-BK-SU,10ft/3m,26ft/7.9m,12/30,
4820-TM,2ft/.6m,3ft/.9m,26ft/7.9m,
4836-BK-SF,12ft/3.7m,36ft/11m,12/30,
4836-BK-SU,12ft/3.7m,36ft/11m,12/30,
4836-TM,2ft/.6m,3ft/.9m,36ft/11m,
4850-BK-SU,15ft/4.6m,50ft/15.2m,12/30,
4850-TM,2ft/.6m,3ft/.9m,50ft/15.3m,
4854-BK-SF,14ft/4.3m,54ft/16.5m,12/30,
4854-BK-SU,14ft/4.3m,54ft/16.5m,12/30,
4854-TM,2ft/.6m,3ft/.9m,54ft/16.5m,
4860-BK-SF,12ft/3.7m,60ft/18.3m,12/30,
4860-BK-SU,12ft/3.7m,60ft/18.3m,12/30,
4860-TM,2ft/.6m,3ft/.9m,60ft/18.3m,
4866-BK-SU,14ft/4.3m,66ft/20.1m,12/30,
4866-TM,2ft/.6m,3ft/.9m,66ft/20m,
4885-BK-SF,14ft/4.3m,85ft/25.9m,12/30,
4885-BK-SU,14ft/4.3m,85ft/25.9m,12/30,
48-RSB-FS,4ft/1.2m,6ft/1.8m,12/30,
5001-TARP,56.5/144,56.5/144,44/112,
5102-TARP,99.5/253,30.75/78,43/109,
5116-TARP,56.5/144,56.5/144,44/112,
5117-TARP,60/152,39.25/100,43.3/108,
5253-TARP,60/152,39.25/100,43.3/108,
5275-TARP,82.25/209,45/114,45.5/115,
5300-TARP,FITS POLLY-DOLLY PLUS A GALLON DRUM,,,
5400-TARP,56.5/144,56.5/144,44/112,
5469-TARP,80/203,76/183,73.75/187,
5550-TARP,115/292,75/190,50.5/128,
5600-YE,23.5/60,23.5/60,2.25/6,
5610-YE,23.5/60,48.5/123,2.25/6,
5620-YE,55.5/141,55/140,2.25/6,
5650-YE,22/56,22/56,3/8,
5660-YE,24/61,36/91,3/8,
5670-YE,24/61,54/137,3/8,
5680-YE,38/96,42/107,3/8,
5700-YE,4ft/1.2m,4ft/1.2m,8/20,
5706-YE,6ft/1.8m,6ft/1.8m,8/20,
5708-YE,10ft/3m,10ft/3m,8/20,
5710-YE,4ft/1.2m,6ft/1.8m,8/20,
5720-YE,4ft/1.2m,8ft/2.4m,8/20,
5730-YE,8ft/2.4m,8ft/2.4m,8/20,
5740-YE,8ft/2.4m,10ft/3m,8/20,
5750-YE,2ft/.6m,2ft/.6m,3/8,
5755-YE,2ft/.6m,4ft/1.2m,3/8,
5760-YE,4ft/1.2m,4ft/1.2m,3/8,
5765-YE,2ft/.6m,8ft/2.4m,3/8,
5770-YE,4ft/1.2m,6ft/1.8m,3/8,
5775-YE,4ft/1.2m,8ft/2.4m,3/8,
